carat,color,clarity,depth,table,price,x,y,z
0.23,E,VS1,56.9,65,327,4.05,4.07,2.31
0.31,J,SI2,63.3,58,335,4.34,4.35,2.75
0.3,J,SI1,64,55,339,4.25,4.28,2.73
0.3,J,SI1,63.4,54,351,4.23,4.29,2.7
0.3,J,SI1,63.8,56,351,4.23,4.26,2.71
0.3,I,SI2,63.3,56,351,4.26,4.3,2.71
0.23,F,VS1,58.2,59,402,4.06,4.08,2.37
0.23,E,VS1,64.1,59,402,3.83,3.85,2.46
0.31,H,SI1,64,54,402,4.29,4.31,2.75
0.26,D,VS2,65.2,56,403,3.99,4.02,2.61
0.26,D,VS1,58.4,63,403,4.19,4.24,2.46
0.32,H,SI2,63.1,56,403,4.34,4.37,2.75
0.32,H,SI2,63.8,56,403,4.36,4.38,2.79
0.3,I,SI1,63.2,55,405,4.25,4.29,2.7
0.3,H,SI1,63.7,57,554,4.28,4.26,2.72
0.26,E,VVS1,57.9,60,554,4.22,4.25,2.45
0.7,E,VS2,57.5,58,2759,5.85,5.9,3.38
0.7,F,VS1,59.4,62,2759,5.71,5.76,3.4
0.7,H,VVS2,62.1,64,2767,5.62,5.65,3.5
0.71,E,VS2,59.2,61,2772,5.8,5.88,3.46
0.83,I,VS2,64.6,54,2774,5.85,5.88,3.79
0.72,G,VS2,59.7,60.5,2776,5.8,5.84,3.47
0.71,F,VS2,63.8,58,2777,5.61,5.64,3.59
0.71,F,VS2,57.8,60,2777,5.87,5.9,3.4
0.7,E,VS2,64.1,59,2777,5.64,5.59,3.6
0.7,E,VS1,57.2,62,2782,5.81,5.77,3.31
0.71,D,VS2,63.3,56,2788,5.64,5.68,3.58
0.77,G,VS1,59.4,64,2788,5.97,5.92,3.53
0.77,F,SI1,64.2,52,2789,5.81,5.77,3.72
0.76,E,SI1,63.7,54,2789,5.76,5.85,3.7
0.81,G,SI2,61,61,2789,5.94,5.99,3.64
0.7,E,VS2,64.1,55,2793,5.6,5.66,3.61
0.72,F,VS1,60.7,60,2795,5.74,5.72,3.48
0.73,E,SI1,63.2,58,2796,5.7,5.76,3.62
0.9,I,SI2,62.2,59,2800,6.07,6.11,3.79
0.71,F,VS2,57.8,60,2801,5.9,5.87,3.4
0.71,F,VS2,63.8,58,2801,5.64,5.61,3.59
0.7,G,VS1,65.1,58,2803,5.56,5.59,3.63
0.82,G,VS2,64,57,2805,5.92,5.89,3.78
0.7,F,VS1,62.8,61,2810,5.57,5.61,3.51
0.8,G,SI1,62.7,57,2810,5.84,5.93,3.69
0.7,E,SI1,63.5,59,2812,5.49,5.53,3.5
0.3,H,SI1,63.8,55,554,4.26,4.2,2.7
0.32,I,SI1,63.9,55,554,4.36,4.34,2.78
0.91,I,VS2,64.3,58,2813,6.09,6.05,3.9
0.71,D,VS1,63.4,55,2816,5.61,5.69,3.58
0.71,E,SI1,62.8,64,2817,5.6,5.54,3.5
0.7,F,VS1,59.7,63,2819,5.76,5.79,3.45
0.86,F,SI2,64.3,60,2819,5.97,5.95,3.83
0.73,E,SI1,63.6,57,2821,5.72,5.7,3.63
0.9,J,VS2,64,61,2822,6.04,6.03,3.86
0.7,E,SI1,61.4,64,2822,5.71,5.66,3.49
0.9,I,SI1,63.8,57,2823,6.06,6.13,3.89
0.74,E,VS1,63.1,58,2824,5.73,5.75,3.62
0.7,E,VS1,57.2,59,2826,5.94,5.88,3.38
0.72,D,VS2,64,54,2827,5.68,5.7,3.64
0.8,E,SI2,63.7,54,2829,5.91,5.87,3.75
0.9,J,SI1,64.3,63,2832,6.05,6.01,3.88
0.71,E,VS2,62.8,60,2836,5.6,5.65,3.53
1.01,I,I1,63.1,57,2844,6.35,6.39,4.02
0.8,H,VS2,63.4,60,2845,5.92,5.82,3.72
1.01,H,I1,64.2,61,2846,6.25,6.18,3.99
0.7,F,VS2,59.1,61,2846,5.76,5.84,3.43
0.79,E,SI1,64.1,54,2849,5.86,5.84,3.75
0.71,G,VS1,63.5,55,2853,5.64,5.66,3.59
0.91,J,VS2,64.2,58,2854,6.12,6.09,3.92
1.03,J,SI1,63.6,57,2855,6.38,6.29,4.03
0.34,G,VS2,57.5,61,556,4.6,4.66,2.66
0.34,E,SI1,63.3,57,556,4.44,4.47,2.82
0.34,E,SI1,63.5,55,556,4.44,4.47,2.83
0.34,E,SI1,63.4,55,556,4.44,4.46,2.82
0.32,E,VS2,64.1,54,556,4.34,4.37,2.79
0.33,I,SI1,63.6,53,557,4.43,4.4,2.81
0.7,E,VVS2,60.1,63,2857,5.68,5.71,3.42
0.7,E,VVS2,63.6,62,2858,5.61,5.58,3.56
0.91,I,VS2,64.3,58,2863,6.05,6.09,3.9
0.73,E,SI1,63.6,57,2871,5.7,5.72,3.63
0.7,D,SI1,62.5,56.7,2872,5.59,5.62,3.51
0.7,E,SI1,61.4,64,2872,5.66,5.71,3.49
0.84,G,SI1,65.1,55,2872,5.88,5.97,3.86
0.9,J,SI1,64,61,2873,6,5.96,3.83
