carat,color,clarity,depth,table,price,x,y,z
0.23,E,SI2,61.5,55,326,3.95,3.98,2.43
0.23,J,VS1,62.8,56,340,3.93,3.9,2.46
0.31,J,SI2,62.2,54,344,4.35,4.37,2.71
0.3,I,SI2,62,54,348,4.31,4.34,2.68
0.33,I,SI2,61.8,55,403,4.49,4.51,2.78
0.33,I,SI2,61.2,56,403,4.49,4.5,2.75
0.33,J,SI1,61.1,56,403,4.49,4.55,2.76
0.23,G,VS1,61.9,54,404,3.93,3.95,2.44
0.32,I,SI1,60.9,55,404,4.45,4.48,2.72
0.3,I,SI2,61,59,405,4.3,4.33,2.63
0.35,I,VS1,60.9,57,552,4.54,4.59,2.78
0.3,D,SI1,62.5,57,552,4.29,4.32,2.69
0.3,D,SI1,62.1,56,552,4.3,4.33,2.68
0.28,G,VVS2,61.4,56,553,4.19,4.22,2.58
0.32,I,VVS1,62,55.3,553,4.39,4.42,2.73
0.26,E,VVS2,62.9,58,554,4.02,4.06,2.54
0.38,I,SI2,61.6,56,554,4.65,4.67,2.87
0.7,E,SI1,62.5,57,2757,5.7,5.72,3.57
0.7,G,VS2,61.6,56,2757,5.7,5.67,3.5
0.74,G,SI1,61.6,55,2760,5.8,5.85,3.59
0.8,I,VS1,62.9,56,2760,5.94,5.87,3.72
0.75,G,SI1,62.2,55,2760,5.87,5.8,3.63
0.74,I,VVS2,62.3,55,2761,5.77,5.81,3.61
0.81,F,SI2,58.8,57,2761,6.14,6.11,3.6
0.59,E,VVS2,62,55,2761,5.38,5.43,3.35
0.8,F,SI2,61.4,57,2761,5.96,6,3.67
0.74,E,SI2,62.2,56,2761,5.8,5.84,3.62
0.73,F,VS2,62.6,56,2762,5.77,5.74,3.6
0.73,F,VS2,62.7,53,2762,5.8,5.75,3.62
0.71,G,VS2,62.4,54,2762,5.72,5.76,3.58
0.7,E,VS2,60.7,58,2762,5.73,5.76,3.49
0.8,F,SI2,59.9,59,2762,6.01,6.07,3.62
0.71,D,SI2,62.3,56,2762,5.73,5.69,3.56
0.74,E,SI1,62.3,54,2762,5.8,5.83,3.62
0.77,H,VS2,62,56,2763,5.89,5.86,3.64
0.71,D,SI1,61.9,59,2764,5.69,5.72,3.53
0.76,H,SI1,61.2,57,2765,5.88,5.91,3.61
0.64,G,VVS1,61.9,56,2766,5.53,5.56,3.43
0.71,D,SI2,61.6,55,2767,5.74,5.76,3.54
0.7,E,SI1,60.9,57,2768,5.73,5.76,3.5
0.74,I,SI1,61.3,56,2769,5.82,5.86,3.57
0.76,D,SI2,62.4,57,2770,5.78,5.83,3.62
0.71,F,SI1,60.7,56,2770,5.77,5.8,3.51
0.73,D,SI2,59.9,57,2770,5.92,5.89,3.54
0.71,G,VS2,61.9,57,2771,5.73,5.77,3.56
0.79,F,SI2,61.9,55,2771,5.97,5.92,3.68
0.58,G,VVS1,61.5,55,2772,5.39,5.44,3.33
0.58,F,VVS1,61.7,56,2772,5.33,5.37,3.3
0.75,D,SI2,61.3,56,2773,5.85,5.89,3.6
0.6,E,VS1,61.7,55,2774,5.41,5.44,3.35
0.7,E,SI1,62.7,55,2774,5.68,5.74,3.58
0.71,E,VS2,62.2,57,2776,5.79,5.62,3.55
0.54,E,VVS2,61.6,56,2776,5.25,5.27,3.24
0.54,E,VVS2,61.5,57,2776,5.24,5.26,3.23
0.72,G,SI1,61.8,56,2776,5.72,5.75,3.55
0.72,G,SI1,60.7,56,2776,5.79,5.82,3.53
0.71,G,SI1,60.5,56,2776,5.8,5.76,3.5
0.7,E,VS2,62.1,55,2777,5.7,5.67,3.53
0.7,E,SI1,61.4,57,2777,5.76,5.7,3.52
0.52,F,VVS1,61.3,55,2778,5.19,5.22,3.19
0.74,E,SI1,61.7,56,2779,5.84,5.8,3.59
0.71,F,VS2,62.1,54,2780,5.68,5.72,3.54
0.74,G,VS1,61.5,55,2780,5.81,5.86,3.59
0.7,G,VS1,61.4,59,2780,5.64,5.73,3.49
0.77,H,SI1,62.2,56,2781,5.83,5.88,3.64
0.78,H,SI1,61.2,56,2781,5.92,5.99,3.64
0.76,G,VS2,61.3,56,2782,5.9,5.94,3.63
0.72,D,SI1,60.8,57,2782,5.76,5.75,3.5
0.52,F,IF,62.2,55,2783,5.14,5.18,3.21
0.51,F,VVS1,62,57,2787,5.11,5.15,3.18
