carat,color,clarity,depth,table,price,x,y,z
0.21,E,SI1,59.8,61,326,3.89,3.84,2.31
0.29,I,VS2,62.4,58,334,4.2,4.23,2.63
0.22,F,SI1,60.4,61,342,3.88,3.84,2.33
0.2,E,SI2,60.2,62,345,3.79,3.75,2.27
0.32,E,I1,60.9,58,345,4.38,4.42,2.68
0.24,I,VS1,62.5,57,355,3.97,3.94,2.47
0.29,F,SI1,62.4,58,403,4.24,4.26,2.65
0.22,E,VS2,61.6,58,404,3.93,3.89,2.41
0.22,D,VS2,59.3,62,404,3.91,3.88,2.31
0.3,J,SI2,59.3,61,405,4.43,4.38,2.61
0.3,D,SI1,62.6,59,552,4.23,4.27,2.66
0.42,I,SI2,61.5,59,552,4.78,4.84,2.96
0.31,G,SI1,61.8,58,553,4.35,4.32,2.68
0.24,E,VVS1,60.7,58,553,4.01,4.03,2.44
0.3,H,SI1,62.9,59,554,4.28,4.24,2.68
0.3,H,SI1,62.5,57,554,4.29,4.25,2.67
0.24,G,VVS1,62.3,59,554,3.95,3.92,2.45
0.24,H,VVS1,61.2,58,554,4.01,3.96,2.44
0.24,H,VVS1,60.8,59,554,4.02,4,2.44
0.24,H,VVS2,60.7,58,554,4.07,4.04,2.46
0.32,I,SI1,62.9,58,554,4.35,4.33,2.73
0.8,H,SI1,61.5,58,2760,5.97,5.93,3.66
0.75,E,SI1,59.9,54,2760,6,5.96,3.58
0.75,G,VS2,61.7,58,2760,5.85,5.79,3.59
0.8,G,SI1,63,59,2760,5.9,5.81,3.69
0.9,I,VS2,63,58,2761,6.16,6.12,3.87
0.8,F,SI2,61.7,58,2762,5.98,5.94,3.68
0.7,F,VS2,61.6,60,2762,5.65,5.59,3.46
0.91,H,SI1,61.4,56,2763,6.09,5.97,3.7
0.63,E,VVS1,60.9,60,2765,5.52,5.55,3.37
0.71,F,VS1,61.8,59,2765,5.69,5.73,3.53
0.71,G,VS2,60.9,57,2766,5.78,5.75,3.51
0.71,G,VS2,59.8,56,2766,5.89,5.81,3.5
0.71,D,SI2,61.7,59,2768,5.71,5.67,3.51
0.71,D,VS2,62.5,60,2770,5.65,5.61,3.52
0.73,G,VS2,61.4,59,2770,5.83,5.76,3.56
0.73,G,VS2,60.7,58,2770,5.87,5.82,3.55
0.73,G,VS1,61.5,58,2770,5.79,5.75,3.55
0.73,G,VS2,59.2,59,2770,5.92,5.87,3.49
0.7,D,VS2,58,62,2773,5.87,5.78,3.38
0.71,E,VS2,62.7,58,2776,5.74,5.68,3.58
0.71,F,VS2,62.1,58,2777,5.67,5.7,3.53
0.7,E,VS2,61.1,60,2777,5.71,5.64,3.47
0.7,E,SI1,60,59,2777,5.79,5.75,3.46
0.7,E,SI1,61.2,57,2777,5.73,5.68,3.49
0.7,E,SI1,62.7,59,2777,5.67,5.63,3.54
0.7,E,SI1,61,57,2777,5.73,5.68,3.48
0.7,E,SI1,61,58,2777,5.78,5.72,3.51
0.72,F,SI1,61.8,61,2777,5.82,5.71,3.56
0.7,E,SI1,61.3,58,2777,5.71,5.68,3.49
0.7,E,SI1,60.5,58,2777,5.77,5.74,3.48
0.78,F,SI1,62.4,58,2777,5.83,5.8,3.63
0.77,G,VS2,61.2,58,2780,5.9,5.93,3.62
1.01,F,I1,61.8,60,2781,6.39,6.36,3.94
0.7,E,VS1,62.9,60,2782,5.62,5.54,3.51
0.72,D,SI1,62.7,59,2782,5.73,5.69,3.58
0.7,D,SI1,62.8,60,2782,5.68,5.66,3.56
0.75,F,SI1,61.4,59,2782,5.88,5.85,3.6
1.01,H,SI2,62.7,59,2788,6.31,6.22,3.93
0.76,E,SI1,60.4,58,2789,5.92,5.94,3.58
0.76,E,SI1,61.8,58,2789,5.82,5.86,3.61
0.63,E,VVS2,62.1,57,2789,5.48,5.41,3.38
0.63,E,VVS1,60.9,60,2789,5.55,5.52,3.37
